Item Slot,Item Type,Name,Required Level,Required Strength,Required Dexerity,Required Intelligence,Innate Stat,Enhancement Bonus,Line 1,Line 2,Line 3,Line 4,Line 5,Line 6,Discord Pretty Print,Copy/Paste Friendly Pretty Print
Weapon,Greatsword,Gorefeast,46,61,61,,24% increased attack speed,2.40%,Lose 20 life on hit,Leech (4 to 6)% of physical hit damage from attacks as life,(30 to 50)% increased local attack speed,Enemies left below (20 to 40)% of max life with hits are executed,Adds 4 to 6 physical damage to attacks per 40 missing life,,"***Gorefeast*** (Greatsword - Req. Level: ***46***; Req. Str ***61***;Req. Dex ***61***;)
- Innate: 24% increased attack speed
  - Lose 20 life on hit
  - Leech (4 to 6)% of physical hit damage from attacks as life
  - (30 to 50)% increased local attack speed
  - Enemies left below (20 to 40)% of max life with hits are executed
  - Adds 4 to 6 physical damage to attacks per 40 missing life","***Gorefeast*** (Greatsword - Req. Level: ***46***; Req. Str ***61***;Req. Dex ***61***;)
- Innate: 24% increased attack speed
  - Lose 20 life on hit
  - Leech (4 to 6)% of physical hit damage from attacks as life
  - (30 to 50)% increased local attack speed
  - Enemies left below (20 to 40)% of max life with hits are executed
  - Adds 4 to 6 physical damage to attacks per 40 missing life"
Weapon,Greatsword,Galesong,56,90,90,,24% increased attack speed,2.40%,+(40 to 80) to dexterity,Adds (40 to 60) to (240 to 360) local lightning damage,Adds (100 to 150) to (200 to 300) local cold damage,4% increased strikes per attack with strike abilities per 10 dexterity,,,"***Galesong*** (Greatsword - Req. Level: ***56***; Req. Str ***90***;Req. Dex ***90***;)
- Innate: 24% increased attack speed
  - +(40 to 80) to dexterity
  - Adds (40 to 60) to (240 to 360) local lightning damage
  - Adds (100 to 150) to (200 to 300) local cold damage
  - 4% increased strikes per attack with strike abilities per 10 dexterity","***Galesong*** (Greatsword - Req. Level: ***56***; Req. Str ***90***;Req. Dex ***90***;)
- Innate: 24% increased attack speed
  - +(40 to 80) to dexterity
  - Adds (40 to 60) to (240 to 360) local lightning damage
  - Adds (100 to 150) to (200 to 300) local cold damage
  - 4% increased strikes per attack with strike abilities per 10 dexterity"
Weapon,Hand Crossbow,Siegebreaker,31,,53,,18% increased attack rating,1.80%,100% less attack speed,Hits penetrate (10 to 30)% of enemy fire resistance,+(10 to 30)% chance to block,"When you block a hit, gain local fire damage qual to 50% of total prevented damage, then perform a counter attack",,,"***Siegebreaker*** (Hand Crossbow - Req. Level: ***31***; Req. Dex ***53***;)
- Innate: 18% increased attack rating
  - 100% less attack speed
  - Hits penetrate (10 to 30)% of enemy fire resistance
  - +(10 to 30)% chance to block
  - When you block a hit, gain local fire damage qual to 50% of total prevented damage, then perform a counter attack","***Siegebreaker*** (Hand Crossbow - Req. Level: ***31***; Req. Dex ***53***;)
- Innate: 18% increased attack rating
  - 100% less attack speed
  - Hits penetrate (10 to 30)% of enemy fire resistance
  - +(10 to 30)% chance to block
  - When you block a hit, gain local fire damage qual to 50% of total prevented damage, then perform a counter attack"
Weapon,Hand Crossbow,Lornfell,46,,102,,32% increased attack critical hit chance,3.20%,Adds (10 to 20) to (70 to 140) local lightning damage,Adds(20 to 40) to (60 to 120) local cold damage,Adds (20 to 40) to (60 to 120) local fire damage,(10 to 30)% increased local attack speed,,,"***Lornfell*** (Hand Crossbow - Req. Level: ***46***; Req. Dex ***102***;)
- Innate: 32% increased attack critical hit chance
  - Adds (10 to 20) to (70 to 140) local lightning damage
  - Adds(20 to 40) to (60 to 120) local cold damage
  - Adds (20 to 40) to (60 to 120) local fire damage
  - (10 to 30)% increased local attack speed","***Lornfell*** (Hand Crossbow - Req. Level: ***46***; Req. Dex ***102***;)
- Innate: 32% increased attack critical hit chance
  - Adds (10 to 20) to (70 to 140) local lightning damage
  - Adds(20 to 40) to (60 to 120) local cold damage
  - Adds (20 to 40) to (60 to 120) local fire damage
  - (10 to 30)% increased local attack speed"
Weapon,Hand Crossbow,Against the Darkness,56,,150,,12% increased attack speed,1.20%,(140 to 220)% increased local physical damage,(30 to 50)% increased local attack speed,Hits ignore (40 to 80)% of enemy armour,Your hits cannot be evaded,,,"***Against the Darkness*** (Hand Crossbow - Req. Level: ***56***; Req. Dex ***150***;)
- Innate: 12% increased attack speed
  - (140 to 220)% increased local physical damage
  - (30 to 50)% increased local attack speed
  - Hits ignore (40 to 80)% of enemy armour
  - Your hits cannot be evaded","***Against the Darkness*** (Hand Crossbow - Req. Level: ***56***; Req. Dex ***150***;)
- Innate: 12% increased attack speed
  - (140 to 220)% increased local physical damage
  - (30 to 50)% increased local attack speed
  - Hits ignore (40 to 80)% of enemy armour
  - Your hits cannot be evaded"
Weapon,Bow,Splinterrain,21,,35,,12% increased attack speed,1.20%,Adds (20 to 30) to (40 to 60) local physical damage,(100 to 200)% increased local attack speed,75% less accuracy rating,Gain (10 to 30)% of physical damage as extra lightning damage,,,"***Splinterrain*** (Bow - Req. Level: ***21***; Req. Dex ***35***;)
- Innate: 12% increased attack speed
  - Adds (20 to 30) to (40 to 60) local physical damage
  - (100 to 200)% increased local attack speed
  - 75% less accuracy rating
  - Gain (10 to 30)% of physical damage as extra lightning damage","***Splinterrain*** (Bow - Req. Level: ***21***; Req. Dex ***35***;)
- Innate: 12% increased attack speed
  - Adds (20 to 30) to (40 to 60) local physical damage
  - (100 to 200)% increased local attack speed
  - 75% less accuracy rating
  - Gain (10 to 30)% of physical damage as extra lightning damage"
Weapon,Bow,Fated Winds,49,,117,,64% increased attack critical hit chance,6.40%,(140 to 220)% increased local physical damage,+(600 to 900) to accuracy rating,+(10 to 20)% local base critical hit chance,Convert 50% of your physical damage to cold damage,,,"***Fated Winds*** (Bow - Req. Level: ***49***; Req. Dex ***117***;)
- Innate: 64% increased attack critical hit chance
  - (140 to 220)% increased local physical damage
  - +(600 to 900) to accuracy rating
  - +(10 to 20)% local base critical hit chance
  - Convert 50% of your physical damage to cold damage","***Fated Winds*** (Bow - Req. Level: ***49***; Req. Dex ***117***;)
- Innate: 64% increased attack critical hit chance
  - (140 to 220)% increased local physical damage
  - +(600 to 900) to accuracy rating
  - +(10 to 20)% local base critical hit chance
  - Convert 50% of your physical damage to cold damage"
Weapon,Bow,Blackflame,49,,117,,48% increased accuracy rating,4.80%,Adds (120 to 180) to (360 to 540) local chaos damage,(10-30)% increased local attack speed,+50% chance to inflict ignite,Ignite effects that you inflict randomly gain between 50% less and 100% more duration,Your chaos damage can ignite,,"***Blackflame*** (Bow - Req. Level: ***49***; Req. Dex ***117***;)
- Innate: 48% increased accuracy rating
  - Adds (120 to 180) to (360 to 540) local chaos damage
  - (10-30)% increased local attack speed
  - +50% chance to inflict ignite
  - Ignite effects that you inflict randomly gain between 50% less and 100% more duration
  - Your chaos damage can ignite","***Blackflame*** (Bow - Req. Level: ***49***; Req. Dex ***117***;)
- Innate: 48% increased accuracy rating
  - Adds (120 to 180) to (360 to 540) local chaos damage
  - (10-30)% increased local attack speed
  - +50% chance to inflict ignite
  - Ignite effects that you inflict randomly gain between 50% less and 100% more duration
  - Your chaos damage can ignite"
Weapon,Bow,Titansbane,56,200,150,,48% increased accuracy rating,4.80%,(200 to 300)% increased local physical damage,+(20 to 40)% chance to deal double damage with attacks,+200 to strength requirement,2% increased range attack damage per 10 strength,,,"***Titansbane*** (Bow - Req. Level: ***56***; Req. Str ***200***;Req. Dex ***150***;)
- Innate: 48% increased accuracy rating
  - (200 to 300)% increased local physical damage
  - +(20 to 40)% chance to deal double damage with attacks
  - +200 to strength requirement
  - 2% increased range attack damage per 10 strength","***Titansbane*** (Bow - Req. Level: ***56***; Req. Str ***200***;Req. Dex ***150***;)
- Innate: 48% increased accuracy rating
  - (200 to 300)% increased local physical damage
  - +(20 to 40)% chance to deal double damage with attacks
  - +200 to strength requirement
  - 2% increased range attack damage per 10 strength"
Weapon,Bow,Heavensreach,56,,150,,64% increased attack critical hit chance,6.40%,Adds (100 to 150) to (1000 to 1500) local lightning damage,25% reduced local attack speed,+(6 to 12) local base critical hit chance,Your hits cannot be evaded,,,"***Heavensreach*** (Bow - Req. Level: ***56***; Req. Dex ***150***;)
- Innate: 64% increased attack critical hit chance
  - Adds (100 to 150) to (1000 to 1500) local lightning damage
  - 25% reduced local attack speed
  - +(6 to 12) local base critical hit chance
  - Your hits cannot be evaded","***Heavensreach*** (Bow - Req. Level: ***56***; Req. Dex ***150***;)
- Innate: 64% increased attack critical hit chance
  - Adds (100 to 150) to (1000 to 1500) local lightning damage
  - 25% reduced local attack speed
  - +(6 to 12) local base critical hit chance
  - Your hits cannot be evaded"
Weapon,Dagger,Basilisk Fang,11,,12,12,Gain 6 life on hit,+0.6,(10 to 30)% increased local attack speed,+((2-5)% local base critical hit chance,50% chance to inflict poison with attacks,Adds 8-12 local chaos damage per poison applied to enemies,,,"***Basilisk Fang*** (Dagger - Req. Level: ***11***; Req. Dex ***12***;Req. Int ***12***;)
- Innate: Gain 6 life on hit
  - (10 to 30)% increased local attack speed
  - +((2-5)% local base critical hit chance
  - 50% chance to inflict poison with attacks
  - Adds 8-12 local chaos damage per poison applied to enemies","***Basilisk Fang*** (Dagger - Req. Level: ***11***; Req. Dex ***12***;Req. Int ***12***;)
- Innate: Gain 6 life on hit
  - (10 to 30)% increased local attack speed
  - +((2-5)% local base critical hit chance
  - 50% chance to inflict poison with attacks
  - Adds 8-12 local chaos damage per poison applied to enemies"
Weapon,Dagger,Devouring Blade,39,,45,45,Gain 9 life on hit,0.9,Leech (6 to 12)% of hit damage from attacks as life,(120 to 180)% increased local physical damage,(30 to 50)% increased local attack speed,Excess recovery from life leech is applied to your energy shield instead,,,"***Devouring Blade*** (Dagger - Req. Level: ***39***; Req. Dex ***45***;Req. Int ***45***;)
- Innate: Gain 9 life on hit
  - Leech (6 to 12)% of hit damage from attacks as life
  - (120 to 180)% increased local physical damage
  - (30 to 50)% increased local attack speed
  - Excess recovery from life leech is applied to your energy shield instead","***Devouring Blade*** (Dagger - Req. Level: ***39***; Req. Dex ***45***;Req. Int ***45***;)
- Innate: Gain 9 life on hit
  - Leech (6 to 12)% of hit damage from attacks as life
  - (120 to 180)% increased local physical damage
  - (30 to 50)% increased local attack speed
  - Excess recovery from life leech is applied to your energy shield instead"
Weapon,Dagger,Darkloom,49,,70,70,+24% to critical damage multiplier,2.40%,Adds (120 to 180) to (240 to 320) local chaos damage,+(60 to 120) to critical damage multiplier,"While your off-hand is empty, your first attack during an encounter is always a critical hit","While your off-hand is empty, your action bar is set to 100% at the begninning of an encounter",,,"***Darkloom*** (Dagger - Req. Level: ***49***; Req. Dex ***70***;Req. Int ***70***;)
- Innate: +24% to critical damage multiplier
  - Adds (120 to 180) to (240 to 320) local chaos damage
  - +(60 to 120) to critical damage multiplier
  - While your off-hand is empty, your first attack during an encounter is always a critical hit
  - While your off-hand is empty, your action bar is set to 100% at the begninning of an encounter","***Darkloom*** (Dagger - Req. Level: ***49***; Req. Dex ***70***;Req. Int ***70***;)
- Innate: +24% to critical damage multiplier
  - Adds (120 to 180) to (240 to 320) local chaos damage
  - +(60 to 120) to critical damage multiplier
  - While your off-hand is empty, your first attack during an encounter is always a critical hit
  - While your off-hand is empty, your action bar is set to 100% at the begninning of an encounter"
Weapon,Wand,Ancestral Echo,28,,,44,12% increased spell damage,1.20%,+(10 to 20)% to chaos resistance,(-50 to -30)% less cast speed,+(1 to 2) to the level of all abilities,"When you cast a spell, it is repeated once without cost",,,"***Ancestral Echo*** (Wand - Req. Level: ***28***; Req. Int ***44***;)
- Innate: 12% increased spell damage
  - +(10 to 20)% to chaos resistance
  - (-50 to -30)% less cast speed
  - +(1 to 2) to the level of all abilities
  - When you cast a spell, it is repeated once without cost","***Ancestral Echo*** (Wand - Req. Level: ***28***; Req. Int ***44***;)
- Innate: 12% increased spell damage
  - +(10 to 20)% to chaos resistance
  - (-50 to -30)% less cast speed
  - +(1 to 2) to the level of all abilities
  - When you cast a spell, it is repeated once without cost"
Weapon,Wand,Lumaris,28,,,44,12% increased spell damage,1.30%,+(30 to 50) to maximum life,Regenerate (1 to 3)% of life per second,Hits penetrate (10 to 30)% of enemy elemental resistances,Gain (6 to 12)% of life as extra base energy shield,,,"***Lumaris*** (Wand - Req. Level: ***28***; Req. Int ***44***;)
- Innate: 12% increased spell damage
  - +(30 to 50) to maximum life
  - Regenerate (1 to 3)% of life per second
  - Hits penetrate (10 to 30)% of enemy elemental resistances
  - Gain (6 to 12)% of life as extra base energy shield","***Lumaris*** (Wand - Req. Level: ***28***; Req. Int ***44***;)
- Innate: 12% increased spell damage
  - +(30 to 50) to maximum life
  - Regenerate (1 to 3)% of life per second
  - Hits penetrate (10 to 30)% of enemy elemental resistances
  - Gain (6 to 12)% of life as extra base energy shield"
Weapon,Wand,Sealing Pact,35,,,63,12% increased spell damage,1.20%,+(1 to 3) to the level of all abilities,You cannot deal critical hits,Your hits cannot inflict elemental ailments,Abilities have no cost,,,"***Sealing Pact*** (Wand - Req. Level: ***35***; Req. Int ***63***;)
- Innate: 12% increased spell damage
  - +(1 to 3) to the level of all abilities
  - You cannot deal critical hits
  - Your hits cannot inflict elemental ailments
  - Abilities have no cost","***Sealing Pact*** (Wand - Req. Level: ***35***; Req. Int ***63***;)
- Innate: 12% increased spell damage
  - +(1 to 3) to the level of all abilities
  - You cannot deal critical hits
  - Your hits cannot inflict elemental ailments
  - Abilities have no cost"
Weapon,Wand,Soulpierce,39,,,75,12% increased spell damage,1.20%,(30 to 60)% increased spell damage,(160 to 240)% increased spell critical hit chance,Enemies left below (20-30)% of maximum life with hits are executed,Your hits cannot be evaded,,,"***Soulpierce*** (Wand - Req. Level: ***39***; Req. Int ***75***;)
- Innate: 12% increased spell damage
  - (30 to 60)% increased spell damage
  - (160 to 240)% increased spell critical hit chance
  - Enemies left below (20-30)% of maximum life with hits are executed
  - Your hits cannot be evaded","***Soulpierce*** (Wand - Req. Level: ***39***; Req. Int ***75***;)
- Innate: 12% increased spell damage
  - (30 to 60)% increased spell damage
  - (160 to 240)% increased spell critical hit chance
  - Enemies left below (20-30)% of maximum life with hits are executed
  - Your hits cannot be evaded"
Weapon,Wand,Riftshaper,42,,,88,12% increased cast speed,1.20%,25% less damage,(20 to 50)% increased cast speed,(-30% to -10%) reduced mana cost of abilities,"After you cast a spell, your action bar is set to 50%",,,"***Riftshaper*** (Wand - Req. Level: ***42***; Req. Int ***88***;)
- Innate: 12% increased cast speed
  - 25% less damage
  - (20 to 50)% increased cast speed
  - (-30% to -10%) reduced mana cost of abilities
  - After you cast a spell, your action bar is set to 50%","***Riftshaper*** (Wand - Req. Level: ***42***; Req. Int ***88***;)
- Innate: 12% increased cast speed
  - 25% less damage
  - (20 to 50)% increased cast speed
  - (-30% to -10%) reduced mana cost of abilities
  - After you cast a spell, your action bar is set to 50%"
Weapon,Magestave,Salvation,21,,,35,16 increased mana,1.60%,(10 to 20)% increased mana,(20 to 50)% increased cast speed,(20 to 50)% increased mana cost of abilities,"When you cast a spell, recover life equal to its cost",,,"***Salvation*** (Magestave - Req. Level: ***21***; Req. Int ***35***;)
- Innate: 16 increased mana
  - (10 to 20)% increased mana
  - (20 to 50)% increased cast speed
  - (20 to 50)% increased mana cost of abilities
  - When you cast a spell, recover life equal to its cost","***Salvation*** (Magestave - Req. Level: ***21***; Req. Int ***35***;)
- Innate: 16 increased mana
  - (10 to 20)% increased mana
  - (20 to 50)% increased cast speed
  - (20 to 50)% increased mana cost of abilities
  - When you cast a spell, recover life equal to its cost"
Weapon,Magestave,Frostspire,39,,,75,24% increased spell damage,2.40%,+(2-4) to the level of cold abilities,(-60 to -40)% less chill effect,Enemies left below a percentage of maximum life with hits equal to the effect of chill inflicted are executed,Chill effects you inflict have infinite duration,,,"***Frostspire*** (Magestave - Req. Level: ***39***; Req. Int ***75***;)
- Innate: 24% increased spell damage
  - +(2-4) to the level of cold abilities
  - (-60 to -40)% less chill effect
  - Enemies left below a percentage of maximum life with hits equal to the effect of chill inflicted are executed
  - Chill effects you inflict have infinite duration","***Frostspire*** (Magestave - Req. Level: ***39***; Req. Int ***75***;)
- Innate: 24% increased spell damage
  - +(2-4) to the level of cold abilities
  - (-60 to -40)% less chill effect
  - Enemies left below a percentage of maximum life with hits equal to the effect of chill inflicted are executed
  - Chill effects you inflict have infinite duration"
Weapon,Magestave,Ashen Fate,42,,,88,32% increased spell damage,3.20%,75% less damage,(800 to 1400)% more ignite damage,+(10 to 30)% chance to deal double damage with attacks,(20 to 40)% increase ailment duration,,,"***Ashen Fate*** (Magestave - Req. Level: ***42***; Req. Int ***88***;)
- Innate: 32% increased spell damage
  - 75% less damage
  - (800 to 1400)% more ignite damage
  - +(10 to 30)% chance to deal double damage with attacks
  - (20 to 40)% increase ailment duration","***Ashen Fate*** (Magestave - Req. Level: ***42***; Req. Int ***88***;)
- Innate: 32% increased spell damage
  - 75% less damage
  - (800 to 1400)% more ignite damage
  - +(10 to 30)% chance to deal double damage with attacks
  - (20 to 40)% increase ailment duration"
Weapon,Magestave,Leyweve,46,,,102,24% increased cast speed,2.40%,+(40 to 80) to dexterity,+(400 to 800) to accuracy rating,(160 to 240)% increased spell critical hit chance,+1% to critical damage multiplier per 20 accuracy rating,,,"***Leyweve*** (Magestave - Req. Level: ***46***; Req. Int ***102***;)
- Innate: 24% increased cast speed
  - +(40 to 80) to dexterity
  - +(400 to 800) to accuracy rating
  - (160 to 240)% increased spell critical hit chance
  - +1% to critical damage multiplier per 20 accuracy rating","***Leyweve*** (Magestave - Req. Level: ***46***; Req. Int ***102***;)
- Innate: 24% increased cast speed
  - +(40 to 80) to dexterity
  - +(400 to 800) to accuracy rating
  - (160 to 240)% increased spell critical hit chance
  - +1% to critical damage multiplier per 20 accuracy rating"
Weapon,Magestave,Tide of Corruption,49,,,117,% increased cast speed,,Leech (4 to 8)% of hit damage from spells as energy shield,(60 to 120)% increased cast speed,(60 to 120)% increased spell critical hit chance,Hits penetrate (10 to 30)% of enemy chaos resistance,,,"***Tide of Corruption*** (Magestave - Req. Level: ***49***; Req. Int ***117***;)
- Innate: % increased cast speed
  - Leech (4 to 8)% of hit damage from spells as energy shield
  - (60 to 120)% increased cast speed
  - (60 to 120)% increased spell critical hit chance
  - Hits penetrate (10 to 30)% of enemy chaos resistance","***Tide of Corruption*** (Magestave - Req. Level: ***49***; Req. Int ***117***;)
- Innate: % increased cast speed
  - Leech (4 to 8)% of hit damage from spells as energy shield
  - (60 to 120)% increased cast speed
  - (60 to 120)% increased spell critical hit chance
  - Hits penetrate (10 to 30)% of enemy chaos resistance"
Weapon,Magestave,Annihilation,56,,,450,32% increased spell damage,3.20%,+(40 to 60)% chance to deal double damage with spells,+(4 to 8) to the level of all abilities,200% increased attribute requirements,Take chaos damage equal to 400% of ability cost when you cast a spell,,,"***Annihilation*** (Magestave - Req. Level: ***56***; Req. Int ***450***;)
- Innate: 32% increased spell damage
  - +(40 to 60)% chance to deal double damage with spells
  - +(4 to 8) to the level of all abilities
  - 200% increased attribute requirements
  - Take chaos damage equal to 400% of ability cost when you cast a spell","***Annihilation*** (Magestave - Req. Level: ***56***; Req. Int ***450***;)
- Innate: 32% increased spell damage
  - +(40 to 60)% chance to deal double damage with spells
  - +(4 to 8) to the level of all abilities
  - 200% increased attribute requirements
  - Take chaos damage equal to 400% of ability cost when you cast a spell"
